id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,2,0,57,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,0
2,ImportDeclaration,,-1,-1,2,0,2,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,1
3,ImportDefaultSpecifier,,-1,-1,2,7,2,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,2
4,Identifier,chalk,-1,-1,2,7,2,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,3
6,CallExpression,suite,-1,2,4,0,57,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,4
7,Identifier,suite,-1,-1,4,0,4,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,5
8,ArrowFunctionExpression,,0,-1,4,15,57,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,6
10,VariableDeclaration,,-1,-1,5,1,5,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,7
12,Identifier,chalkRed,-1,-1,5,7,5,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,8
14,Identifier,red,-1,-1,5,24,5,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,9
15,VariableDeclaration,,-1,-1,6,1,6,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,10
17,Identifier,chalkBgRed,-1,-1,6,7,6,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,11
19,Identifier,bgRed,-1,-1,6,26,6,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,12
20,VariableDeclaration,,-1,-1,7,1,7,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,13
22,Identifier,chalkBlueBgRed,-1,-1,7,7,7,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,14
25,Identifier,blue,-1,-1,7,30,7,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,15
26,VariableDeclaration,,-1,-1,8,1,8,50,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,16
28,Identifier,chalkBlueBgRedBold,-1,-1,8,7,8,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,17
32,Identifier,bold,-1,-1,8,45,8,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,18
33,VariableDeclaration,,-1,-1,10,1,10,82,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,19
35,Identifier,blueStyledString,-1,-1,10,7,10,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,20
38,CallExpression,blue,-1,1,10,44,10,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,21
41,CallExpression,bench,-1,2,12,1,14,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,22
42,Identifier,bench,-1,-1,12,1,12,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,23
43,ArrowFunctionExpression,,0,-1,12,18,14,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,24
46,CallExpression,red,-1,1,13,2,13,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,25
49,CallExpression,bench,-1,2,16,1,18,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,26
50,ArrowFunctionExpression,,0,-1,16,19,18,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,27
53,CallExpression,bgRed,-1,1,17,2,17,53,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,28
57,CallExpression,bench,-1,2,20,1,22,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,29
58,ArrowFunctionExpression,,0,-1,20,19,22,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,30
61,CallExpression,bold,-1,1,21,2,21,58,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,31
66,CallExpression,bench,-1,2,24,1,26,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,32
67,ArrowFunctionExpression,,0,-1,24,26,26,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,33
70,CallExpression,chalkRed,-1,1,25,2,25,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,34
72,CallExpression,bench,-1,2,28,1,30,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,35
73,ArrowFunctionExpression,,0,-1,28,27,30,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,36
76,CallExpression,chalkBlueBgRed,-1,1,29,2,29,51,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,37
78,CallExpression,bench,-1,2,32,1,34,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,38
79,ArrowFunctionExpression,,0,-1,32,27,34,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,39
82,CallExpression,chalkBlueBgRedBold,-1,1,33,2,33,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,40
84,CallExpression,bench,-1,2,36,1,38,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,41
85,ArrowFunctionExpression,,0,-1,36,39,38,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,42
88,CallExpression,chalkRed,-1,1,37,2,37,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,43
90,CallExpression,bench,-1,2,40,1,42,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,44
91,ArrowFunctionExpression,,0,-1,40,46,42,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,45
94,CallExpression,chalkRed,-1,1,41,2,41,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,46
96,CallExpression,bench,-1,2,44,1,46,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,47
97,ArrowFunctionExpression,,0,-1,44,50,46,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,48
100,CallExpression,chalkBgRed,-1,1,45,2,45,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,49
102,CallExpression,bench,-1,2,48,1,51,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,50
103,ArrowFunctionExpression,,0,-1,48,43,51,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,51
106,TaggedTemplateExpression,,-1,-1,50,2,50,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,52
107,TemplateLiteral,,-1,-1,50,10,50,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,53
108,TemplateElement,,-1,-1,50,10,50,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,54
110,CallExpression,bench,-1,2,53,1,56,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,55
111,ArrowFunctionExpression,,0,-1,53,49,56,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,56
114,TaggedTemplateExpression,,-1,-1,55,2,55,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,57
115,TemplateLiteral,,-1,-1,55,10,55,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,58
116,TemplateElement,,-1,-1,55,10,55,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js,59
117,Program,,-1,-1,1,0,27,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,60
118,ImportDeclaration,,-1,-1,1,0,1,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,61
119,ImportDefaultSpecifier,,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,62
120,Identifier,process,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,63
121,ImportDeclaration,,-1,-1,2,0,2,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,64
122,ImportDefaultSpecifier,,-1,-1,2,7,2,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,65
123,Identifier,styles,-1,-1,2,7,2,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,66
124,ImportDeclaration,,-1,-1,3,0,3,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,67
125,ImportDefaultSpecifier,,-1,-1,3,7,3,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,68
126,Identifier,chalk,-1,-1,3,7,3,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,69
127,ForOfStatement,,-1,-1,6,0,27,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,70
128,VariableDeclaration,,-1,-1,6,5,6,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,71
130,Identifier,key,-1,-1,6,11,6,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,72
131,CallExpression,keys,-1,1,6,18,6,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,73
133,Identifier,Object,-1,-1,6,18,6,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,74
134,Identifier,keys,-1,-1,6,25,6,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,75
136,VariableDeclaration,,-1,-1,7,1,7,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,76
138,Identifier,returnValue,-1,-1,7,5,7,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,77
139,IfStatement,,-1,-1,10,1,20,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,78
152,CallExpression,endsWith,-1,1,17,6,17,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,79
154,Identifier,endsWith,-1,-1,17,10,17,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,80
156,ContinueStatement,,-1,-1,19,2,19,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,81
157,IfStatement,,-1,-1,22,1,24,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,82
158,CallExpression,test,-1,1,22,5,22,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,83
160,Identifier,test,-1,-1,22,15,22,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,84
164,CallExpression,black,-1,1,23,16,23,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,85
166,Identifier,black,-1,-1,23,22,23,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,86
168,CallExpression,write,-1,1,26,1,26,52,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,87
171,Identifier,stdout,-1,-1,26,9,26,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,88
172,Identifier,write,-1,-1,26,16,26,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,89
174,CallExpression,key,-1,1,26,22,26,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/examples/screenshot.js,90
176,Program,,-1,-1,2,0,33,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,91
177,ExportNamedDeclaration,,-1,-1,2,0,19,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,92
178,FunctionDeclaration,stringReplaceAll,3,-1,2,7,19,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,93
179,Identifier,stringReplaceAll,-1,-1,2,16,2,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,94
180,Identifier,string,-1,-1,2,33,2,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,95
181,Identifier,substring,-1,-1,2,41,2,50,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,96
182,Identifier,replacer,-1,-1,2,52,2,60,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,97
184,VariableDeclaration,,-1,-1,3,1,3,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,98
186,Identifier,index,-1,-1,3,5,3,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,99
187,CallExpression,indexOf,-1,1,3,13,3,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,100
189,Identifier,indexOf,-1,-1,3,20,3,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,101
190,IfStatement,,-1,-1,4,1,6,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,102
192,UnaryExpression,,-1,-1,4,15,4,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,103
194,ReturnStatement,,-1,-1,5,2,5,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,104
195,VariableDeclaration,,-1,-1,8,1,8,42,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,105
197,Identifier,substringLength,-1,-1,8,7,8,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,106
199,Identifier,length,-1,-1,8,35,8,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,107
200,VariableDeclaration,,-1,-1,9,1,9,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,108
202,Identifier,endIndex,-1,-1,9,5,9,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,109
203,VariableDeclaration,,-1,-1,10,1,10,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,110
205,Identifier,returnValue,-1,-1,10,5,10,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,111
206,DoWhileStatement,,-1,-1,11,1,15,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,112
212,CallExpression,slice,-1,2,12,17,12,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,113
214,Identifier,slice,-1,-1,12,24,12,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,114
220,CallExpression,indexOf,-1,2,14,10,14,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,115
223,UnaryExpression,,-1,-1,15,20,15,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,116
226,CallExpression,slice,-1,1,17,16,17,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,117
228,ReturnStatement,,-1,-1,18,1,18,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,118
229,ExportNamedDeclaration,,-1,-1,21,0,33,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,119
230,FunctionDeclaration,stringEncaseCRLFWithFirstIndex,4,-1,21,7,33,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,120
231,Identifier,stringEncaseCRLFWithFirstIndex,-1,-1,21,16,21,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,121
232,Identifier,prefix,-1,-1,21,55,21,61,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,122
233,Identifier,postfix,-1,-1,21,63,21,70,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,123
235,VariableDeclaration,,-1,-1,22,1,22,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,124
237,VariableDeclaration,,-1,-1,23,1,23,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,125
239,DoWhileStatement,,-1,-1,24,1,29,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,126
241,VariableDeclaration,,-1,-1,25,2,25,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,127
243,Identifier,gotCR,-1,-1,25,8,25,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,128
252,CallExpression,slice,-1,2,26,17,26,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,129
254,ConditionalExpression,,-1,-1,26,41,26,66,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,130
256,ConditionalExpression,,-1,-1,26,81,26,102,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,131
262,CallExpression,indexOf,-1,2,28,10,28,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,132
265,UnaryExpression,,-1,-1,29,20,29,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,133
268,CallExpression,slice,-1,1,31,16,31,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,134
270,ReturnStatement,,-1,-1,32,1,32,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/utilities.js,135
271,Program,,-1,-1,1,0,223,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,136
272,VariableDeclaration,,-1,-1,1,0,1,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,137
274,Identifier,ANSI_BACKGROUND_OFFSET,-1,-1,1,6,1,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,138
275,VariableDeclaration,,-1,-1,3,0,3,70,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,139
277,Identifier,wrapAnsi16,-1,-1,3,6,3,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,140
278,ArrowFunctionExpression,,1,-1,3,19,3,69,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,141
279,AssignmentPattern,,-1,-1,3,20,3,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,142
280,Identifier,offset,-1,-1,3,20,3,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,143
281,ArrowFunctionExpression,,1,-1,3,35,3,69,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,144
282,Identifier,code,-1,-1,3,35,3,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,145
283,TemplateLiteral,,-1,-1,3,43,3,69,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,146
284,TemplateElement,,-1,-1,3,43,3,53,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,147
285,TemplateElement,,-1,-1,3,66,3,69,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,148
287,VariableDeclaration,,-1,-1,5,0,5,79,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,149
289,Identifier,wrapAnsi256,-1,-1,5,6,5,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,150
290,ArrowFunctionExpression,,1,-1,5,20,5,78,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,151
291,AssignmentPattern,,-1,-1,5,21,5,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,152
292,ArrowFunctionExpression,,1,-1,5,36,5,78,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,153
293,TemplateLiteral,,-1,-1,5,44,5,78,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,154
294,TemplateElement,,-1,-1,5,44,5,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,155
295,TemplateElement,,-1,-1,5,65,5,71,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,156
296,TemplateElement,,-1,-1,5,75,5,78,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,157
298,VariableDeclaration,,-1,-1,7,0,7,109,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,158
300,Identifier,wrapAnsi16m,-1,-1,7,6,7,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,159
301,ArrowFunctionExpression,,1,-1,7,20,7,108,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/source/vendor/ansi-styles/index.js,160
